,Invoice Id,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
40,41,Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60.0,925.0,555000,166500,30,Outlet
41,42,Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65.0,,715000,178750,25,Outlet
42,43,Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60.0,,750000,375000,50,Outlet
43,44,Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,,563750,169125,30,Outlet
44,45,Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000,166250,35,Outlet
45,46,Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,925.0,462500,161875,35,Outlet
46,47,Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000,162000,30,Outlet
47,48,Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65.0,,698750,174688,25,Outlet
48,49,Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60.0,,720000,360000,50,Outlet
49,50,Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,,550000,165000,30,Outlet
50,51,Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500,161875,35,Outlet
51,52,Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000,157500,35,Outlet
52,53,Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000,162000,30,Outlet
53,54,Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65.0,,650000,162500,25,Outlet
54,55,Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750,170625,30,Outlet
55,56,Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70.0,,700000,175000,25,Outlet
56,57,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65.0,,747500,373750,50,Outlet
57,58,Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,975.0,536250,160875,30,Outlet
58,59,Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55.0,920.0,506000,177100,35,Outlet
59,60,Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000,173250,35,Outlet
60,61,Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65.0,875.0,568750,170625,30,Outlet
61,62,Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70.0,975.0,682500,170625,25,Outlet
62,63,Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65.0,,780000,390000,50,Outlet
63,64,Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,,550000,165000,30,Outlet
64,65,Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55.0,950.0,522500,182875,35,Outlet
65,66,Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900.0,495000,173250,35,Outlet
66,67,Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65.0,900.0,585000,175500,30,Outlet
67,68,Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70.0,,700000,175000,25,Outlet
68,69,Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25.0,900.0,225000,78750,35,Outlet
69,70,Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,900.0,315000,110250,35,Outlet
70,71,Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35.0,700.0,245000,85750,35,Outlet
71,72,Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35.0,700.0,245000,110250,45,Outlet
72,73,Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40.0,550.0,220000,66000,30,Outlet
73,74,Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35.0,700.0,245000,122500,50,Outlet
74,75,Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25.0,850.0,212500,74375,35,Outlet
75,76,Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35.0,850.0,297500,104125,35,Outlet
76,77,Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35.0,675.0,236250,82688,35,Outlet
77,78,Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35.0,625.0,218750,98438,45,Outlet
78,79,Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40.0,500.0,200000,60000,30,Outlet
79,80,Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35.0,700.0,245000,122500,50,Outlet
80,81,Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30.0,875.0,262500,91875,35,Outlet
81,82,Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,875.0,350000,122500,35,Outlet
82,83,Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35.0,700.0,245000,85750,35,Outlet
83,84,Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,600.0,240000,108000,45,Outlet
84,85,Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45.0,500.0,225000,67500,30,Outlet
85,86,Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40.0,650.0,260000,130000,50,Outlet
86,87,Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30.0,900.0,270000,94500,35,Outlet
87,88,Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,900.0,360000,126000,35,Outlet
88,89,Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35.0,725.0,253750,88813,35,Outlet
89,90,Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,625.0,250000,112500,45,Outlet
90,91,Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45.0,525.0,236250,70875,30,Outlet
91,92,Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40.0,800.0,320000,160000,50,Outlet
92,93,Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30.0,925.0,277500,97125,35,Outlet
93,94,Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,925.0,370000,129500,35,Outlet
94,95,Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35.0,775.0,271250,94938,35,Outlet
95,96,Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000,126000,45,Outlet
96,97,Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45.0,600.0,270000,81000,30,Outlet
97,98,Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40.0,950.0,380000,190000,50,Outlet
98,99,Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000,133000,35,Outlet
99,100,Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500,149625,35,Outlet
100,101,Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40.0,800.0,320000,112000,35,Outlet
101,102,Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,750.0,300000,135000,45,Outlet
102,103,Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45.0,650.0,292500,87750,30,Outlet
103,104,Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50.0,,500000,250000,50,Outlet
104,105,Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40.0,950.0,380000,133000,35,Outlet
105,106,Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500,149625,35,Outlet
106,107,Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40.0,,440000,154000,35,Outlet
107,108,Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700.0,280000,126000,45,Outlet
108,109,Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45.0,700.0,315000,94500,30,Outlet
109,110,Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50.0,975.0,487500,243750,50,Outlet
110,111,Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40.0,925.0,370000,129500,35,Outlet
111,112,Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,925.0,416250,145688,35,Outlet
112,113,Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40.0,,440000,154000,35,Outlet
113,114,Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,650.0,260000,117000,45,Outlet
114,115,Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45.0,650.0,292500,87750,30,Outlet
115,116,Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50.0,900.0,450000,225000,50,Outlet
116,117,Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45.0,850.0,382500,133875,35,Outlet
117,118,Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,850.0,382500,133875,35,Outlet
118,119,Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50.0,900.0,450000,157500,35,Outlet
119,120,Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500,140625,45,Outlet
120,121,Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45.0,625.0,281250,84375,30,Outlet
121,122,Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55.0,850.0,467500,233750,50,Outlet
122,123,Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45.0,800.0,360000,126000,35,Outlet
123,124,Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,800.0,360000,126000,35,Outlet
124,125,Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50.0,750.0,375000,131250,35,Outlet
125,126,Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,600.0,300000,135000,45,Outlet
126,127,Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45.0,575.0,258750,77625,30,Outlet
127,128,Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55.0,750.0,412500,206250,50,Outlet
128,129,Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45.0,900.0,405000,141750,35,Outlet
129,130,Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,900.0,405000,141750,35,Outlet
130,131,Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50.0,825.0,412500,144375,35,Outlet
131,132,Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,675.0,337500,151875,45,Outlet
132,133,Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45.0,650.0,292500,87750,30,Outlet
133,134,Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55.0,850.0,467500,233750,50,Outlet
134,135,Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45.0,950.0,427500,149625,35,Outlet
135,136,Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950.0,427500,149625,35,Outlet
136,137,Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50.0,850.0,425000,148750,35,Outlet
137,138,Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,700.0,350000,157500,45,Outlet
138,139,Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45.0,650.0,292500,87750,30,Outlet
139,140,Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55.0,900.0,495000,247500,50,Outlet
140,141,West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40.0,775.0,310000,108500,35,Outlet
141,142,West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50.0,775.0,387500,77500,20,Outlet
142,143,West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50.0,775.0,387500,135625,35,Outlet
143,144,West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,625.0,312500,93750,30,Outlet
144,145,West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55.0,575.0,316250,158125,50,Outlet
145,146,West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50.0,775.0,387500,58125,15,Outlet
146,147,West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40.0,825.0,330000,115500,35,Outlet
147,148,West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50.0,725.0,362500,72500,20,Outlet
148,149,West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50.0,725.0,362500,126875,35,Outlet
149,150,West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50.0,575.0,287500,86250,30,Outlet
150,151,West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55.0,500.0,275000,137500,50,Outlet
151,152,West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50.0,700.0,350000,52500,15,Outlet
152,153,West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50.0,850.0,425000,148750,35,Outlet
153,154,West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60.0,700.0,420000,84000,20,Outlet
154,155,West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60.0,700.0,420000,147000,35,Outlet
155,156,West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60.0,600.0,360000,108000,30,Outlet
156,157,West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65.0,500.0,325000,162500,50,Outlet
157,158,West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60.0,700.0,420000,63000,15,Outlet
158,159,West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60.0,875.0,525000,183750,35,Outlet
159,160,West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65.0,675.0,438750,87750,20,Outlet
160,161,West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65.0,725.0,471250,164938,35,Outlet
161,162,West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60.0,625.0,375000,112500,30,Outlet
162,163,West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65.0,525.0,341250,170625,50,Outlet
163,164,West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80.0,700.0,560000,84000,15,Outlet
164,165,West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60.0,900.0,540000,216000,40,Outlet
165,166,West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,750.0,487500,121875,25,Outlet
166,167,West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65.0,750.0,487500,195000,40,Outlet
167,168,West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,650.0,390000,136500,35,Outlet
168,169,West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65.0,550.0,357500,196625,55,Outlet
169,170,West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80.0,725.0,580000,116000,20,Outlet
170,171,West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60.0,975.0,585000,234000,40,Outlet
171,172,West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,825.0,536250,134063,25,Outlet
172,173,West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250,214500,40,Outlet
173,174,West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,700.0,420000,147000,35,Outlet
174,175,West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65.0,575.0,373750,205563,55,Outlet
175,176,West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80.0,875.0,700000,140000,20,Outlet
176,177,West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60.0,,615000,215250,35,Outlet
177,178,West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65.0,875.0,568750,113750,20,Outlet
178,179,West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65.0,825.0,536250,187688,35,Outlet
179,180,West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60.0,725.0,435000,130500,30,Outlet
180,181,West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65.0,775.0,503750,251875,50,Outlet
181,182,West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80.0,775.0,620000,93000,15,Outlet
182,183,West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65.0,975.0,633750,221813,35,Outlet
183,184,West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70.0,925.0,647500,129500,20,Outlet
184,185,West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65.0,800.0,520000,182000,35,Outlet
185,186,West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65.0,750.0,487500,146250,30,Outlet
186,187,West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75.0,750.0,562500,281250,50,Outlet
187,188,West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80.0,725.0,580000,87000,15,Outlet
188,189,West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55.0,925.0,508750,152625,30,Outlet
189,190,West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,925.0,555000,83250,15,Outlet
190,191,West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250,127875,30,Outlet
191,192,West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,725.0,398750,99688,25,Outlet
192,193,West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65.0,725.0,471250,212063,45,Outlet
193,194,West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70.0,775.0,542500,54250,10,Outlet
194,195,West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250,144375,30,Outlet
195,196,West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000,78750,15,Outlet
196,197,West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55.0,700.0,385000,115500,30,Outlet
197,198,West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,675.0,371250,92813,25,Outlet
198,199,West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65.0,650.0,422500,190125,45,Outlet
199,200,West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70.0,700.0,490000,49000,10,Outlet
200,201,West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55.0,875.0,481250,144375,30,Outlet
201,202,West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,875.0,525000,78750,15,Outlet
202,203,West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55.0,725.0,398750,119625,30,Outlet
203,204,West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,700.0,385000,96250,25,Outlet
204,205,West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65.0,650.0,422500,190125,45,Outlet
205,206,West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70.0,775.0,542500,54250,10,Outlet
206,207,West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55.0,975.0,536250,160875,30,Outlet
207,208,West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60.0,975.0,585000,87750,15,Outlet
208,209,West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55.0,775.0,426250,127875,30,Outlet
209,210,West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55.0,775.0,426250,106563,25,Outlet
210,211,West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65.0,700.0,455000,204750,45,Outlet
211,212,West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70.0,800.0,560000,56000,10,Outlet
212,213,Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35.0,700.0,245000,98000,40,Outlet
213,214,Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45.0,700.0,315000,78750,25,Outlet
214,215,Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45.0,700.0,315000,126000,40,Outlet
215,216,Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45.0,550.0,247500,86625,35,Outlet
216,217,Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,50.0,500.0,250000,137500,55,Outlet
217,218,Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,45.0,700.0,315000,63000,20,Outlet
218,219,Kohl's,1189833,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35.0,750.0,262500,105000,40,Outlet
219,220,Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45.0,650.0,292500,73125,25,Outlet
220,221,Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45.0,675.0,303750,121500,40,Outlet
221,222,Kohl's,1189833,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45.0,525.0,236250,82688,35,Outlet
222,223,Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,50.0,450.0,225000,123750,55,Outlet
223,224,Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,45.0,650.0,292500,58500,20,Outlet
