Invoice Id,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
14,Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,925,"$462,500 ","$138,750 ",30%,Outlet
15,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet
16,Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet
17,Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,850,"$510,000 ","$153,000 ",30%,Outlet
18,Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$118,750 ",25%,Outlet
19,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$300,000 ",50%,Outlet
20,Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$135,000 ",30%,Outlet
21,Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,900,"$360,000 ","$126,000 ",35%,Outlet
22,Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$129,937 ",35%,Outlet
23,Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,825,"$495,000 ","$148,500 ",30%,Outlet
24,Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,950,"$475,000 ","$118,750 ",25%,Outlet
25,Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,220","$732,000 ","$366,000 ",50%,Outlet
26,Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,925,"$508,750 ","$152,625 ",30%,Outlet
27,Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet
28,Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet
29,Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,875,"$525,000 ","$157,500 ",30%,Outlet
30,Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$162,500 ",25%,Outlet
31,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$375,000 ",50%,Outlet
32,Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet
33,Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet
34,Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet
35,Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet
36,Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,050","$682,500 ","$170,625 ",25%,Outlet
37,Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,275","$765,000 ","$382,500 ",50%,Outlet
38,Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$169,125 ",30%,Outlet
39,Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$166,250 ",35%,Outlet
40,Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet
41,Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,925,"$555,000 ","$166,500 ",30%,Outlet
42,Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,100","$715,000 ","$178,750 ",25%,Outlet
43,Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,250","$750,000 ","$375,000 ",50%,Outlet
44,Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,025","$563,750 ","$169,125 ",30%,Outlet
45,Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,950,"$475,000 ","$166,250 ",35%,Outlet
46,Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet
47,Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet
48,Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,075","$698,750 ","$174,688 ",25%,Outlet
49,Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,200","$720,000 ","$360,000 ",50%,Outlet
50,Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet
51,Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet
52,Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet
53,Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet
54,Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$162,500 ",25%,Outlet
55,Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet
56,Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet
57,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,150","$747,500 ","$373,750 ",50%,Outlet
58,Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,975,"$536,250 ","$160,875 ",30%,Outlet
59,Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,920,"$506,000 ","$177,100 ",35%,Outlet
60,Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet
61,Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet
62,Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,975,"$682,500 ","$170,625 ",25%,Outlet
63,Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,200","$780,000 ","$390,000 ",50%,Outlet
64,Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet
65,Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,950,"$522,500 ","$182,875 ",35%,Outlet
66,Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet
67,Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,900,"$585,000 ","$175,500 ",30%,Outlet
68,Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet
69,Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,$25.00 ,900,"$225,000 ","$78,750 ",35%,Outlet
70,Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,900,"$315,000 ","$110,250 ",35%,Outlet
71,Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,700,"$245,000 ","$85,750 ",35%,Outlet
72,Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$35.00 ,700,"$245,000 ","$110,250 ",45%,Outlet
73,Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,$40.00 ,550,"$220,000 ","$66,000 ",30%,Outlet
74,Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$122,500 ",50%,Outlet
75,Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,$25.00 ,850,"$212,500 ","$74,375 ",35%,Outlet
76,Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,$35.00 ,850,"$297,500 ","$104,125 ",35%,Outlet
77,Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,675,"$236,250 ","$82,688 ",35%,Outlet
78,Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,$35.00 ,625,"$218,750 ","$98,438 ",45%,Outlet
79,Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,$40.00 ,500,"$200,000 ","$60,000 ",30%,Outlet
80,Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$122,500 ",50%,Outlet
81,Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,875,"$262,500 ","$91,875 ",35%,Outlet
82,Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,875,"$350,000 ","$122,500 ",35%,Outlet
83,Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,700,"$245,000 ","$85,750 ",35%,Outlet
84,Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,600,"$240,000 ","$108,000 ",45%,Outlet
85,Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,$45.00 ,500,"$225,000 ","$67,500 ",30%,Outlet
86,Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,$40.00 ,650,"$260,000 ","$130,000 ",50%,Outlet
87,Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,900,"$270,000 ","$94,500 ",35%,Outlet
88,Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,900,"$360,000 ","$126,000 ",35%,Outlet
89,Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,725,"$253,750 ","$88,813 ",35%,Outlet
90,Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,625,"$250,000 ","$112,500 ",45%,Outlet
91,Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,$45.00 ,525,"$236,250 ","$70,875 ",30%,Outlet
92,Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,$40.00 ,800,"$320,000 ","$160,000 ",50%,Outlet
93,Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"$277,500 ","$97,125 ",35%,Outlet
94,Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,925,"$370,000 ","$129,500 ",35%,Outlet
95,Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,775,"$271,250 ","$94,938 ",35%,Outlet
96,Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$126,000 ",45%,Outlet
97,Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,$45.00 ,600,"$270,000 ","$81,000 ",30%,Outlet
98,Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$40.00 ,950,"$380,000 ","$190,000 ",50%,Outlet
99,Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet
100,Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet
101,Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,800,"$320,000 ","$112,000 ",35%,Outlet
102,Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,750,"$300,000 ","$135,000 ",45%,Outlet
103,Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet
104,Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","$500,000 ","$250,000 ",50%,Outlet
105,Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet
106,Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet
107,Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$154,000 ",35%,Outlet
108,Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$126,000 ",45%,Outlet
109,Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,$45.00 ,700,"$315,000 ","$94,500 ",30%,Outlet
110,Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$50.00 ,975,"$487,500 ","$243,750 ",50%,Outlet
111,Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,925,"$370,000 ","$129,500 ",35%,Outlet
112,Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,925,"$416,250 ","$145,688 ",35%,Outlet
113,Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$154,000 ",35%,Outlet
114,Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,650,"$260,000 ","$117,000 ",45%,Outlet
115,Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet
116,Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,$50.00 ,900,"$450,000 ","$225,000 ",50%,Outlet
117,Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,850,"$382,500 ","$133,875 ",35%,Outlet
118,Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,850,"$382,500 ","$133,875 ",35%,Outlet
119,Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet
120,Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$140,625 ",45%,Outlet
121,Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,$45.00 ,625,"$281,250 ","$84,375 ",30%,Outlet
122,Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$233,750 ",50%,Outlet
123,Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet
124,Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet
125,Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,750,"$375,000 ","$131,250 ",35%,Outlet
126,Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,600,"$300,000 ","$135,000 ",45%,Outlet
127,Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,$45.00 ,575,"$258,750 ","$77,625 ",30%,Outlet
128,Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,$55.00 ,750,"$412,500 ","$206,250 ",50%,Outlet
129,Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,900,"$405,000 ","$141,750 ",35%,Outlet
130,Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,900,"$405,000 ","$141,750 ",35%,Outlet
131,Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,825,"$412,500 ","$144,375 ",35%,Outlet
132,Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,675,"$337,500 ","$151,875 ",45%,Outlet
133,Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet
134,Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$233,750 ",50%,Outlet
135,Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet
136,Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet
137,Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet
138,Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,700,"$350,000 ","$157,500 ",45%,Outlet
139,Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet
140,Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$55.00 ,900,"$495,000 ","$247,500 ",50%,Outlet
141,West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,775,"$310,000 ","$108,500 ",35%,Outlet
142,West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,$50.00 ,775,"$387,500 ","$77,500 ",20%,Outlet
143,West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,775,"$387,500 ","$135,625 ",35%,Outlet
144,West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$93,750 ",30%,Outlet
145,West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,$55.00 ,575,"$316,250 ","$158,125 ",50%,Outlet
146,West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,$50.00 ,775,"$387,500 ","$58,125 ",15%,Outlet
147,West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,$40.00 ,825,"$330,000 ","$115,500 ",35%,Outlet
148,West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,$50.00 ,725,"$362,500 ","$72,500 ",20%,Outlet
149,West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,$50.00 ,725,"$362,500 ","$126,875 ",35%,Outlet
150,West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,$50.00 ,575,"$287,500 ","$86,250 ",30%,Outlet
151,West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,$55.00 ,500,"$275,000 ","$137,500 ",50%,Outlet
152,West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,$50.00 ,700,"$350,000 ","$52,500 ",15%,Outlet
153,West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet
154,West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,700,"$420,000 ","$84,000 ",20%,Outlet
155,West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,$60.00 ,700,"$420,000 ","$147,000 ",35%,Outlet
156,West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,600,"$360,000 ","$108,000 ",30%,Outlet
157,West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,$65.00 ,500,"$325,000 ","$162,500 ",50%,Outlet
158,West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,$60.00 ,700,"$420,000 ","$63,000 ",15%,Outlet
159,West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,875,"$525,000 ","$183,750 ",35%,Outlet
160,West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,675,"$438,750 ","$87,750 ",20%,Outlet
161,West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,$65.00 ,725,"$471,250 ","$164,938 ",35%,Outlet
162,West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,625,"$375,000 ","$112,500 ",30%,Outlet
163,West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,$65.00 ,525,"$341,250 ","$170,625 ",50%,Outlet
164,West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,$80.00 ,700,"$560,000 ","$84,000 ",15%,Outlet
165,West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,900,"$540,000 ","$216,000 ",40%,Outlet
166,West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$487,500 ","$121,875 ",25%,Outlet
167,West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,750,"$487,500 ","$195,000 ",40%,Outlet
168,West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$390,000 ","$136,500 ",35%,Outlet
169,West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,$65.00 ,550,"$357,500 ","$196,625 ",55%,Outlet
170,West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$116,000 ",20%,Outlet
171,West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,975,"$585,000 ","$234,000 ",40%,Outlet
172,West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$536,250 ","$134,063 ",25%,Outlet
173,West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$214,500 ",40%,Outlet
174,West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$420,000 ","$147,000 ",35%,Outlet
175,West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,$65.00 ,575,"$373,750 ","$205,563 ",55%,Outlet
176,West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$80.00 ,875,"$700,000 ","$140,000 ",20%,Outlet
177,West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,"1,025","$615,000 ","$215,250 ",35%,Outlet
178,West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,875,"$568,750 ","$113,750 ",20%,Outlet
179,West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$187,688 ",35%,Outlet
180,West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,725,"$435,000 ","$130,500 ",30%,Outlet
181,West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,$65.00 ,775,"$503,750 ","$251,875 ",50%,Outlet
182,West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,$80.00 ,775,"$620,000 ","$93,000 ",15%,Outlet
183,West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$65.00 ,975,"$633,750 ","$221,813 ",35%,Outlet
184,West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,$70.00 ,925,"$647,500 ","$129,500 ",20%,Outlet
185,West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,800,"$520,000 ","$182,000 ",35%,Outlet
186,West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,$65.00 ,750,"$487,500 ","$146,250 ",30%,Outlet
187,West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,$75.00 ,750,"$562,500 ","$281,250 ",50%,Outlet
188,West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$87,000 ",15%,Outlet
189,West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,$55.00 ,925,"$508,750 ","$152,625 ",30%,Outlet
190,West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,925,"$555,000 ","$83,250 ",15%,Outlet
191,West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,$55.00 ,775,"$426,250 ","$127,875 ",30%,Outlet
192,West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,$55.00 ,725,"$398,750 ","$99,688 ",25%,Outlet
193,West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,$65.00 ,725,"$471,250 ","$212,063 ",45%,Outlet
194,West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,$70.00 ,775,"$542,500 ","$54,250 ",10%,Outlet
